timestamp,ram_used_mb,ram_available_mb,browser_ram_mb,cpu_percent
2026-03-10T00:00:00,5620.1,10763.9,930.2,64.4
2026-03-10T00:00:10,6518.9,9865.1,803.1,28.7
2026-03-10T00:00:20,5852.4,10531.6,859.6,23.9
2026-03-10T00:00:30,5386.7,10997.3,808.3,66.9
2026-03-10T00:00:40,5960.8,10423.2,866.8,48.0
2026-03-10T00:00:50,4722.5,11661.5,551.4,42.1
2026-03-10T00:01:00,4190.0,12194.0,642.7,9.0
2026-03-10T00:01:10,6176.2,10207.8,809.9,75.3
2026-03-10T00:01:20,5365.0,11019.0,625.0,35.2
2026-03-10T00:01:30,4764.5,11619.5,608.0,41.7
2026-03-10T00:01:40,6489.6,9894.4,906.3,48.0
2026-03-10T00:01:50,6139.3,10244.7,722.9,17.9
2026-03-10T00:02:00,6418.3,9965.7,1002.8,84.0
2026-03-10T00:02:10,4918.0,11466.0,692.5,66.3
2026-03-10T00:02:20,6432.2,9951.8,848.7,50.9
2026-03-10T00:02:30,4538.9,11845.1,587.4,58.8
2026-03-10T00:02:40,5267.9,11116.1,741.1,63.1
2026-03-10T00:02:50,5340.4,11043.6,746.4,15.2
2026-03-10T00:03:00,5298.5,11085.5,758.2,53.2
2026-03-10T00:03:10,5944.6,10439.4,757.4,18.5
2026-03-10T00:03:20,6404.2,9979.8,743.6,45.5
2026-03-10T00:03:30,4377.1,12006.9,543.1,11.4
2026-03-10T00:03:40,4977.6,11406.4,725.7,18.8
2026-03-10T00:03:50,6090.3,10293.7,781.9,59.3
2026-03-10T00:04:00,4140.0,12244.0,462.6,6.8
2026-03-10T00:04:10,4448.1,11935.9,674.3,31.9
2026-03-10T00:04:20,6323.5,10060.5,780.3,14.6
2026-03-10T00:04:30,6360.2,10023.8,959.2,22.9
2026-03-10T00:04:40,4615.4,11768.6,711.7,38.0
2026-03-10T00:04:50,5090.6,11293.4,665.6,39.3
2026-03-10T00:05:00,5808.7,10575.3,831.7,59.5
2026-03-10T00:05:10,6390.2,9993.8,882.2,60.6
2026-03-10T00:05:20,4354.6,12029.4,573.8,33.7
2026-03-10T00:05:30,5362.0,11022.0,701.6,26.7
2026-03-10T00:05:40,5499.3,10884.7,762.7,44.3
2026-03-10T00:05:50,4236.8,12147.2,579.6,28.7
2026-03-10T00:06:00,5398.6,10985.4,731.6,35.9
2026-03-10T00:06:10,6119.8,10264.2,739.0,67.7
2026-03-10T00:06:20,5963.1,10420.9,787.2,30.8
2026-03-10T00:06:30,4586.4,11797.6,573.5,7.4
2026-03-10T00:06:40,6541.6,9842.4,875.1,67.3
2026-03-10T00:06:50,6180.7,10203.3,789.4,36.8
2026-03-10T00:07:00,6433.6,9950.4,986.4,80.1
2026-03-10T00:07:10,5041.1,11342.9,572.8,38.6
2026-03-10T00:07:20,5732.3,10651.7,810.1,43.5
2026-03-10T00:07:30,5459.4,10924.6,673.0,4.8
2026-03-10T00:07:40,4209.8,12174.2,681.5,32.5
2026-03-10T00:07:50,5510.2,10873.8,676.2,28.3
2026-03-10T00:08:00,5010.0,11374.0,598.9,10.9
2026-03-10T00:08:10,5993.8,10390.2,885.3,73.0
2026-03-10T00:08:20,4250.1,12133.9,600.5,5.3
2026-03-10T00:08:30,5625.5,10758.5,727.1,56.9
2026-03-10T00:08:40,5172.3,11211.7,744.5,60.1
2026-03-10T00:08:50,4252.9,12131.1,576.4,47.8
2026-03-10T00:09:00,5899.0,10485.0,892.1,55.0
2026-03-10T00:09:10,4951.8,11432.2,704.8,45.2
2026-03-10T00:09:20,4719.4,11664.6,657.7,60.0
2026-03-10T00:09:30,6430.5,9953.5,782.3,39.0
2026-03-10T00:09:40,5624.2,10759.8,685.6,49.7
2026-03-10T00:09:50,6042.5,10341.5,886.9,16.4
2026-03-10T00:10:00,5106.6,11277.4,589.9,58.4
2026-03-10T00:10:10,4874.1,11509.9,516.5,60.4
2026-03-10T00:10:20,5674.8,10709.2,719.4,13.9
2026-03-10T00:10:30,4824.6,11559.4,748.2,59.1
2026-03-10T00:10:40,6367.4,10016.6,901.6,20.0
2026-03-10T00:10:50,4781.6,11602.4,549.4,56.9
2026-03-10T00:11:00,4663.4,11720.6,492.1,36.4
2026-03-10T00:11:10,5411.9,10972.1,660.8,68.5
2026-03-10T00:11:20,4472.9,11911.1,486.2,9.7
2026-03-10T00:11:30,6525.1,9858.9,887.7,55.4
2026-03-10T00:11:40,4800.0,11584.0,573.9,49.4
2026-03-10T00:11:50,5021.3,11362.7,666.0,21.0
2026-03-10T00:12:00,5385.2,10998.8,724.7,71.1
2026-03-10T00:12:10,5445.2,10938.8,560.3,29.1
2026-03-10T00:12:20,5128.1,11255.9,670.8,13.8
2026-03-10T00:12:30,4946.5,11437.5,601.5,29.2
2026-03-10T00:12:40,4518.8,11865.2,677.3,51.4
2026-03-10T00:12:50,5312.6,11071.4,619.4,21.9
2026-03-10T00:13:00,6311.9,10072.1,799.0,43.0
2026-03-10T00:13:10,4620.7,11763.3,567.0,45.3
2026-03-10T00:13:20,5480.3,10903.7,666.4,47.6
2026-03-10T00:13:30,4530.3,11853.7,611.5,54.9
2026-03-10T00:13:40,5813.0,10571.0,691.7,66.0
2026-03-10T00:13:50,4751.8,11632.2,623.6,34.0
2026-03-10T00:14:00,4986.2,11397.8,599.4,43.5
2026-03-10T00:14:10,5348.2,11035.8,715.3,41.4
2026-03-10T00:14:20,4149.7,12234.3,552.0,55.2
2026-03-10T00:14:30,4299.0,12085.0,455.0,46.3
2026-03-10T00:14:40,6418.7,9965.3,873.6,17.2
2026-03-10T00:14:50,4479.4,11904.6,597.1,19.5
2026-03-10T00:15:00,5081.3,11302.7,745.4,40.7
2026-03-10T00:15:10,6599.5,9784.5,996.9,75.2
2026-03-10T00:15:20,5875.1,10508.9,664.2,11.5
2026-03-10T00:15:30,5078.1,11305.9,672.5,4.9
2026-03-10T00:15:40,4504.6,11879.4,614.9,49.1
2026-03-10T00:15:50,5586.1,10797.9,713.2,41.3
2026-03-10T00:16:00,4350.4,12033.6,729.9,51.3
2026-03-10T00:16:10,5378.8,11005.2,721.2,66.2
2026-03-10T00:16:20,6334.5,10049.5,839.7,79.1
2026-03-10T00:16:30,5083.9,11300.1,635.1,50.7
2026-03-10T00:16:40,5878.4,10505.6,807.2,16.9
2026-03-10T00:16:50,4827.5,11556.5,568.5,57.5
2026-03-10T00:17:00,4998.1,11385.9,622.3,65.9
2026-03-10T00:17:10,5667.4,10716.6,790.7,8.9
2026-03-10T00:17:20,5297.3,11086.7,637.9,54.8
2026-03-10T00:17:30,6354.4,10029.6,948.9,7.8
2026-03-10T00:17:40,4972.0,11412.0,643.1,25.6
2026-03-10T00:17:50,6321.5,10062.5,911.3,58.7
2026-03-10T00:18:00,4274.2,12109.8,490.4,42.9
2026-03-10T00:18:10,4486.2,11897.8,690.3,38.5
2026-03-10T00:18:20,5955.9,10428.1,831.4,5.4
2026-03-10T00:18:30,4889.3,11494.7,707.5,12.3
2026-03-10T00:18:40,4529.0,11855.0,652.1,27.6
2026-03-10T00:18:50,4236.2,12147.8,596.5,35.4
2026-03-10T00:19:00,4916.2,11467.8,707.7,28.3
2026-03-10T00:19:10,4579.8,11804.2,486.0,57.5
2026-03-10T00:19:20,5620.1,10763.9,811.6,14.3
2026-03-10T00:19:30,4886.6,11497.4,657.6,30.8
2026-03-10T00:19:40,5170.8,11213.2,697.9,20.7
2026-03-10T00:19:50,4696.9,11687.1,563.0,15.7
2026-03-10T00:20:00,4374.6,12009.4,777.9,22.2
2026-03-10T00:20:10,5718.3,10665.7,691.0,28.5
2026-03-10T00:20:20,6328.9,10055.1,653.8,15.6
2026-03-10T00:20:30,5032.9,11351.1,645.2,23.7
2026-03-10T00:20:40,6596.4,9787.6,855.7,62.0
2026-03-10T00:20:50,5312.2,11071.8,689.8,29.8
2026-03-10T00:21:00,6121.1,10262.9,845.8,48.5
2026-03-10T00:21:10,5476.2,10907.8,715.3,43.3
2026-03-10T00:21:20,6334.8,10049.2,895.0,41.0
2026-03-10T00:21:30,4834.2,11549.8,514.8,52.8
2026-03-10T00:21:40,5040.3,11343.7,691.4,20.0
2026-03-10T00:21:50,5742.6,10641.4,633.0,10.2
2026-03-10T00:22:00,6477.3,9906.7,887.6,47.1
2026-03-10T00:22:10,6364.1,10019.9,761.0,68.7
2026-03-10T00:22:20,5161.2,11222.8,614.5,44.6
2026-03-10T00:22:30,4421.4,11962.6,470.9,23.2
2026-03-10T00:22:40,6028.5,10355.5,830.1,53.5
2026-03-10T00:22:50,5163.5,11220.5,480.1,32.1
2026-03-10T00:23:00,4218.8,12165.2,658.9,30.9
2026-03-10T00:23:10,5496.5,10887.5,706.2,32.0
2026-03-10T00:23:20,5953.6,10430.4,757.4,31.1
2026-03-10T00:23:30,4341.1,12042.9,618.5,54.7
2026-03-10T00:23:40,4530.0,11854.0,581.0,21.2
2026-03-10T00:23:50,5323.5,11060.5,794.2,35.9
2026-03-10T00:24:00,5222.8,11161.2,634.0,24.1
2026-03-10T00:24:10,6290.3,10093.7,922.2,54.9
2026-03-10T00:24:20,5972.4,10411.6,974.1,22.6
2026-03-10T00:24:30,4687.2,11696.8,702.4,59.2
2026-03-10T00:24:40,4703.6,11680.4,662.9,42.0
2026-03-10T00:24:50,5372.8,11011.2,718.4,17.3
2026-03-10T00:25:00,5501.7,10882.3,829.9,19.1
2026-03-10T00:25:10,6018.5,10365.5,773.9,12.6
2026-03-10T00:25:20,6327.0,10057.0,904.6,41.2
2026-03-10T00:25:30,4909.3,11474.7,569.5,42.6
2026-03-10T00:25:40,5531.0,10853.0,682.5,29.2
2026-03-10T00:25:50,6093.5,10290.5,731.9,60.2
2026-03-10T00:26:00,4882.2,11501.8,633.0,12.3
2026-03-10T00:26:10,4461.2,11922.8,645.5,42.6
2026-03-10T00:26:20,5378.5,11005.5,744.9,30.5
2026-03-10T00:26:30,4544.5,11839.5,526.9,41.3
2026-03-10T00:26:40,6490.6,9893.4,848.6,17.1
2026-03-10T00:26:50,4923.4,11460.6,668.7,26.4
2026-03-10T00:27:00,4343.2,12040.8,674.3,54.4
2026-03-10T00:27:10,5261.2,11122.8,725.6,32.6
2026-03-10T00:27:20,6174.3,10209.7,831.1,7.6
2026-03-10T00:27:30,6005.6,10378.4,865.4,45.5
2026-03-10T00:27:40,4444.9,11939.1,648.7,47.9
2026-03-10T00:27:50,5556.6,10827.4,761.6,58.1
2026-03-10T00:28:00,6051.3,10332.7,933.9,8.4
2026-03-10T00:28:10,5635.5,10748.5,720.5,12.5
2026-03-10T00:28:20,6192.9,10191.1,758.4,82.5
2026-03-10T00:28:30,5172.4,11211.6,823.9,33.4
2026-03-10T00:28:40,6597.3,9786.7,820.0,72.2
2026-03-10T00:28:50,5517.9,10866.1,849.8,49.1
2026-03-10T00:29:00,4642.0,11742.0,654.9,15.7
2026-03-10T00:29:10,4294.4,12089.6,631.4,32.9
2026-03-10T00:29:20,4953.2,11430.8,600.2,20.8
2026-03-10T00:29:30,6409.4,9974.6,823.6,12.7
2026-03-10T00:29:40,6560.5,9823.5,693.3,86.2
2026-03-10T00:29:50,6421.0,9963.0,952.2,24.8
2026-03-10T00:30:00,5987.5,10396.5,668.3,54.9
2026-03-10T00:30:10,5304.8,11079.2,687.0,32.3
2026-03-10T00:30:20,5147.2,11236.8,582.0,10.6
2026-03-10T00:30:30,5396.1,10987.9,909.8,29.6
2026-03-10T00:30:40,6477.3,9906.7,869.1,68.1
2026-03-10T00:30:50,5945.3,10438.7,706.5,54.4
